"Pig","Trt","Room","Pen","Day","Dry matter, %","dm_prop","dry_matter_perc"
"16-3","C","1","26","10",28.710103871577,0.28710103871577,28.710103871577
"15-17","C","1","26","10",11.9509632224168,0.119509632224168,11.9509632224168
"5-12","A","1","27","10",27.8115903678222,0.278115903678222,27.8115903678222
"9-1","A","1","27","10",20.5462051444903,0.205462051444903,20.5462051444903
"24-5","A","1","27","10",19.6548019270093,0.196548019270093,19.6548019270093
"11-10","B","1","28","10",15.7839613012027,0.157839613012027,15.7839613012027
"29-8","B","1","28","10",17.8004950948932,0.178004950948932,17.8004950948932
"26-12","B","1","28","10",29.8098814693111,0.298098814693111,29.8098814693111
"29-12","D","1","29","10",23.4916899773257,0.234916899773257,23.4916899773257
"25-1","D","1","29","10",15.0323092619884,0.150323092619884,15.0323092619884
"12-11","D","1","29","10",7.08028910362165,0.0708028910362165,7.08028910362165
"29-9","C","1","30","10",22.1903289909472,0.221903289909472,22.1903289909472
"25-4","C","1","30","10",10.6763879536536,0.106763879536536,10.6763879536536
"6-13","C","1","30","10",13.0329847144006,0.130329847144006,13.0329847144006
"29-11","D","1","31","10",15.1167471819646,0.151167471819646,15.1167471819646
"13-6","D","1","31","10",10.8306427942471,0.108306427942471,10.8306427942471
"26-16","D","1","31","10",13.5766821029692,0.135766821029692,13.5766821029692
"28-13","E","1","32","10",15.2827159559893,0.152827159559893,15.2827159559893
"2-5","E","1","32","10",12.3888228469945,0.123888228469945,12.3888228469945
"2-12","E","1","32","10",10.6538154582847,0.106538154582847,10.6538154582847
"18-13","F","1","33","10",19.5231603024191,0.195231603024191,19.5231603024191
"3-2","F","1","33","10",14.9662676102917,0.149662676102917,14.9662676102917
"1-8","F","1","33","10",23.2299536924202,0.232299536924202,23.2299536924202
"23-12","B","1","34","10",22.8699651692418,0.228699651692418,22.8699651692418
"2-7","B","1","34","10",25.2016500574118,0.252016500574118,25.2016500574118
"25-12","B","1","34","10",22.8680101748869,0.228680101748869,22.8680101748869
"4-3","E","2","36","10",25.0542090961491,0.250542090961491,25.0542090961491
"26-17","E","2","36","10",12.6632496155818,0.126632496155818,12.6632496155818
"2-4","E","2","36","10",18.0775492082285,0.180775492082285,18.0775492082285
"11-4","D","2","37","10",34.9559052394951,0.349559052394951,34.9559052394951
"3-11","D","2","37","10",27.8836063532718,0.278836063532718,27.8836063532718
"2-6","D","2","37","10",24.7625921142597,0.247625921142597,24.7625921142597
"10-5","A","2","38","10",13.3059837560086,0.133059837560086,13.3059837560086
"27-6","A","2","38","10",10.4598597038192,0.104598597038192,10.4598597038192
"16-7","A","2","38","10",27.8987089128672,0.278987089128672,27.8987089128672
"23-3","B","2","39","10",14.6356259952984,0.146356259952984,14.6356259952984
"1-7","B","2","39","10",25.6146450491361,0.256146450491361,25.6146450491361
"27-1","B","2","39","10",27.6932785346752,0.276932785346752,27.6932785346752
"3-3","E","2","40","10",17.3471463442985,0.173471463442985,17.3471463442985
"14-10","E","2","40","10",15.0698643569211,0.150698643569211,15.0698643569211
"30-2","E","2","40","10",13.5619400679642,0.135619400679642,13.5619400679642
"13-9","C","2","41","10",5.5668577769558,0.055668577769558,5.5668577769558
"26-18","C","2","41","10",6.19646914875022,0.0619646914875022,6.19646914875022
"30-6","C","2","41","10",21.7435281474223,0.217435281474223,21.7435281474223
"23-2","F","2","42","10",5.81365503080081,0.0581365503080081,5.81365503080081
"18-14","F","2","42","10",5.2162401397473,0.052162401397473,5.2162401397473
"11-8","F","2","42","10",5.76006023592404,0.0576006023592404,5.76006023592404
"12-3","B","2","44","10",17.7618355545935,0.177618355545935,17.7618355545935
"19-15","B","2","44","10",26.4282899921198,0.264282899921198,26.4282899921198
"30-3","B","2","44","10",17.2309803420985,0.172309803420985,17.2309803420985
"7-7","A","2","45","10",13.182256509161,0.13182256509161,13.182256509161
"18-17","A","2","45","10",17.9746280649638,0.179746280649638,17.9746280649638
"25-2","A","2","45","10",8.50616859554639,0.0850616859554639,8.50616859554639
"20-1","F","2","46","10",16.741933982029,0.16741933982029,16.741933982029
"30-7","F","2","46","10",13.9280454449821,0.139280454449821,13.9280454449821
"20-7","F","2","46","10",16.8587213891081,0.168587213891081,16.8587213891081
"5-3","C","2","47","10",6.21136421373529,0.0621136421373529,6.21136421373529
"16-9","C","2","47","10",18.4692179700499,0.184692179700499,18.4692179700499
"14-2","C","2","47","10",25.3186730266527,0.253186730266527,25.3186730266527
"20-3","E","2","48","10",10.3896103896104,0.103896103896104,10.3896103896104
"20-8","E","2","48","10",19.0542575140802,0.190542575140802,19.0542575140802
"26-5","E","2","48","10",5.5848145709897,0.055848145709897,5.5848145709897
"10-9","D","2","49","10",12.3839584106944,0.123839584106944,12.3839584106944
"18-20","D","2","49","10",5.33737326651906,0.0533737326651906,5.33737326651906
"1-2","D","2","49","10",7.64572977858111,0.0764572977858111,7.64572977858111
"6-2","A","2","50","10",12.9982010287075,0.129982010287075,12.9982010287075
"21-13","A","2","50","10",18.1731411663644,0.181731411663644,18.1731411663644
"14-5","A","2","50","10",26.4456709557282,0.264456709557282,26.4456709557282
"19-5","F","2","51","10",20.1545614742787,0.201545614742787,20.1545614742787
"19-16","F","2","51","10",23.321554770318,0.23321554770318,23.321554770318
"19-11","F","2","51","10",22.370702109217,0.22370702109217,22.370702109217
"5-8","B","2","53","10",32.9631914456097,0.329631914456097,32.9631914456097
"8-8","B","2","53","10",35.9342915811088,0.359342915811088,35.9342915811088
"24-3","B","2","53","10",25.5825239304277,0.255825239304277,25.5825239304277
"11-5","E","2","54","10",19.0690163589131,0.190690163589131,19.0690163589131
"26-9","E","2","54","10",5.48417092861068,0.0548417092861068,5.48417092861068
"15-9","E","2","54","10",17.2937248287494,0.172937248287494,17.2937248287494
"28-4","C","2","55","10",21.0381539401966,0.210381539401966,21.0381539401966
"28-15","C","2","55","10",10.5604870831911,0.105604870831911,10.5604870831911
"17-5","C","2","55","10",8.3252834331521,0.083252834331521,8.3252834331521
"23-5","F","2","56","10",5.62675694465436,0.0562675694465436,5.62675694465436
"16-8","F","2","56","10",9.81852968460111,0.0981852968460111,9.81852968460111
"17-7","F","2","56","10",16.4450182913708,0.164450182913708,16.4450182913708
"29-6","A","2","57","10",10.3971119133574,0.103971119133574,10.3971119133574
"18-15","A","2","57","10",6.12900587664879,0.0612900587664879,6.12900587664879
"9-5","A","2","57","10",17.5619039906056,0.175619039906056,17.5619039906056
"26-6","D","2","58","10",14.5453706693731,0.145453706693731,14.5453706693731
"24-6","D","2","58","10",12.6391131671977,0.126391131671977,12.6391131671977
"19-13","D","2","58","10",27.7716434717014,0.277716434717014,27.7716434717014
"10-6","C","2","60","10",13.7966486414313,0.137966486414313,13.7966486414313
"3-6","C","2","60","10",11.5868437800436,0.115868437800436,11.5868437800436
"4-7","C","2","60","10",26.6235887755473,0.266235887755473,26.6235887755473
"2-3","A","2","61","10",31.733543141883,0.31733543141883,31.733543141883
"15-14","A","2","61","10",3.47090888864167,0.0347090888864167,3.47090888864167
"12-2","A","2","61","10",20.6889855522759,0.206889855522759,20.6889855522759
"17-2","B","2","62","10",27.0248497242362,0.270248497242362,27.0248497242362
"24-9","B","2","62","10",19.5099384232524,0.195099384232524,19.5099384232524
"16-5","B","2","62","10",16.2818501083464,0.162818501083464,16.2818501083464
"18-4","D","2","63","10",5.94434804961121,0.0594434804961121,5.94434804961121
"18-16","D","2","63","10",6.60786134323738,0.0660786134323738,6.60786134323738
"19-6","D","2","63","10",10.7344913151365,0.107344913151365,10.7344913151365
"10-7","C","2","64","10",23.1397204859207,0.231397204859207,23.1397204859207
"27-5","C","2","64","10",6.4845550945136,0.064845550945136,6.4845550945136
"15-12","C","2","64","10",13.0033366808125,0.130033366808125,13.0033366808125
"8-4","D","2","65","10",18.692618435549,0.18692618435549,18.692618435549
"2-11","D","2","65","10",8.53127196064653,0.0853127196064653,8.53127196064653
"1-4","D","2","65","10",6.88429596959602,0.0688429596959602,6.88429596959602
"8-1","E","2","66","10",6.52603823335532,0.0652603823335532,6.52603823335532
"16-10","E","2","66","10",21.9769030840546,0.219769030840546,21.9769030840546
"30-5","E","2","66","10",8.19411296738265,0.0819411296738266,8.19411296738265
"29-2","F","2","67","10",11.8032786885245,0.118032786885245,11.8032786885245
"28-16","F","2","67","10",8.0357142857143,0.080357142857143,8.0357142857143
"24-4","F","2","67","10",14.2988646824179,0.142988646824179,14.2988646824179
"26-3","B","2","68","10",18.8280507967777,0.188280507967777,18.8280507967777
"21-14","B","2","68","10",26.1117954381345,0.261117954381345,26.1117954381345
"1-3","B","2","68","10",18.463242394702,0.18463242394702,18.463242394702
"13-16","E","1","2","17",13.2748977503182,0.132748977503182,13.2748977503182
"24-1","E","1","2","17",27.3573209203821,0.273573209203821,27.3573209203821
"14-12","E","1","2","17",10.4530535426914,0.104530535426914,10.4530535426914
"20-11","D","1","3","17",18.1101499131549,0.181101499131549,18.1101499131549
"12-6","D","1","3","17",6.16553199485423,0.0616553199485423,6.16553199485423
"28-14","D","1","3","17",17.853866590419,0.17853866590419,17.853866590419
"17-12","A","1","4","17",16.5016441247705,0.165016441247705,16.5016441247705
"6-9","A","1","4","17",23.8464322477239,0.238464322477239,23.8464322477239
"26-15","A","1","4","17",14.5942745492762,0.145942745492762,14.5942745492762
"21-11","B","1","5","17",19.1372683182065,0.191372683182065,19.1372683182065
"26-7","B","1","5","17",24.8223708681919,0.248223708681919,24.8223708681919
"12-13","B","1","5","17",23.2236849017156,0.232236849017156,23.2236849017156
